,features
98,Klebsiella_pneumoniae_KpnG->seq_cov
99,cmlA5->seq_cov
100,ADC-1->seq_cov
101,SAT-1->seq_cov
102,Acinetobacter_baumannii_AmvA->seq_cov
103,arr-2->seq_id
104,ADC-10->seq_id
105,OXA-71->seq_id
106,adeG->seq_cov
107,OXA-23->seq_id
108,OXA-68->seq_id
109,Acinetobacter_baumannii_AbaF->seq_cov
110,adeF->seq_id
111,SAT-1->seq_id
112,OXA-72->seq_cov
113,floR->seq_id
114,ADC-6->seq_cov
115,ADC-76->seq_id
116,ADC-74->seq_cov
117,OXA-115->seq_id
118,APH(3')-VIa->seq_id
119,ADC-11->seq_id
120,APH(6)-Id->seq_id
121,AAC(6')-Ib7->seq_id
122,msrA->seq_id
123,ADC-68->seq_id
124,OXA-91->seq_cov
125,cmlB1->seq_id
126,adeJ->seq_cov
127,APH(6)-Id->seq_cov
128,ANT(2'')-Ia->seq_cov
129,AAC(3)-Ia->seq_cov
130,AAC(6')-Iaf->seq_cov
131,adeA->seq_cov
132,PER-7->seq_id
133,tet(A)->seq_cov
134,adeI->seq_id
135,armA->seq_id
136,OXA-90->seq_cov
137,AAC(6')-Iaf->seq_id
138,adeB->seq_cov
139,catB8->seq_id
140,OXA-164->seq_cov
141,AAC(6')-Ib7->seq_cov
142,CARB-10->seq_cov
143,OXA-91->seq_id
144,APH(3')-IIIa->seq_id
145,TEM-12->seq_id
146,ADC-41->seq_id
147,OXA-23->seq_cov
148,AAC(3)-Ia->seq_id
149,mexK->seq_cov
150,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_cov
151,PER-1->seq_id
152,OXA-90->seq_id
153,OXA-72->seq_id
154,tet(B)->seq_id
155,NDM-1->seq_id
156,adeS->seq_cov
157,adeC->seq_id
158,Acinetobacter_baumannii_AbaQ->seq_cov
159,CARB-14->seq_cov
160,adeR->seq_id
161,OXA-24->seq_id
162,OXA-24->seq_cov
163,OXA-51->seq_id
164,adeA->seq_id
165,ADC-10->seq_cov
166,ANT(3'')-IIa->seq_cov
167,OXA-64->seq_id
168,OXA-71->seq_cov
169,Acinetobacter_baumannii_AbaQ->seq_id
170,adeN->seq_cov
171,aad(6)->seq_cov
172,adeI->seq_cov
173,abeS->seq_cov
174,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_id
175,APH(3'')-Ib->seq_cov
176,ADC-41->seq_cov
177,OXA-69->seq_id
178,tet(39)->seq_cov
179,tet(B)->seq_cov
180,OXA-51->seq_cov
181,OXA-65->seq_id
182,adeB->seq_id
183,adeL->seq_cov
184,aadA17->seq_cov
185,TEM-1->seq_id
186,CARB-14->seq_id
187,OXA-206->seq_cov
188,ADC-75->seq_cov
189,ADC-11->seq_cov
190,OXA-68->seq_cov
191,Klebsiella_pneumoniae_KpnG->seq_id
192,APH(3')-VI->seq_id
193,OXA-206->seq_id
194,OXA-66->seq_cov
195,ADC-2->seq_cov
196,adeH->seq_cov
197,armA->seq_cov
198,mphE->seq_cov
199,sul2->seq_id
200,sul1->seq_cov
201,APH(3')-Ia->seq_cov
202,aad(6)->seq_id
203,SAT-4->seq_cov
204,adeC->seq_cov
205,OXA-164->seq_id
206,dfrA1->seq_id
207,OXA-64->seq_cov
