,features
145,AAC(6')-Ib7->seq_cov
146,AAC(6')-Ib10->seq_id
147,TEM-12->seq_id
148,ADC-41->seq_id
149,OXA-23->seq_cov
150,OXA-58->seq_id
151,AAC(3)-Ia->seq_id
152,mexK->seq_cov
153,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_cov
154,PER-1->seq_id
155,OXA-72->seq_id
156,tet(B)->seq_id
157,NDM-1->seq_id
158,OXA-317->seq_cov
159,adeS->seq_cov
160,adeC->seq_id
161,Acinetobacter_baumannii_AbaQ->seq_cov
162,adeR->seq_id
163,OXA-24->seq_id
164,ANT(3'')-IIb->seq_cov
165,OXA-24->seq_cov
166,adeA->seq_id
167,ADC-10->seq_cov
168,ANT(3'')-IIa->seq_cov
169,OXA-64->seq_id
170,OXA-71->seq_cov
171,Acinetobacter_baumannii_AbaQ->seq_id
172,OXA-313->seq_id
173,adeN->seq_cov
174,OXA-237->seq_id
175,adeI->seq_cov
176,abeS->seq_cov
177,OXA-106->seq_id
178,Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin->seq_id
179,APH(3'')-Ib->seq_cov
180,ADC-41->seq_cov
181,OXA-69->seq_id
182,tet(39)->seq_cov
183,tet(B)->seq_cov
184,OXA-65->seq_id
185,dfrB1->seq_cov
186,OXA-259->seq_cov
187,adeB->seq_id
188,adeL->seq_cov
189,aadA17->seq_cov
190,TEM-1->seq_id
191,OXA-206->seq_cov
192,ADC-75->seq_cov
193,AAC(6')-Ian->seq_cov
194,ADC-11->seq_cov
195,OXA-68->seq_cov
196,Klebsiella_pneumoniae_KpnG->seq_id
197,APH(3')-VI->seq_id
198,OXA-206->seq_id
199,OXA-66->seq_cov
200,ADC-2->seq_cov
201,adeH->seq_cov
202,OXA-317->seq_id
203,armA->seq_cov
204,mphE->seq_cov
205,sul2->seq_id
206,sul1->seq_cov
207,APH(3')-Ia->seq_cov
208,adeC->seq_cov
209,OXA-64->seq_cov
